HDP1,HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
3,8,3,17,24,0,1,6,36
0,22,9,5,17,0,1,6,36
10,4,41,1,0,0,1,6,36
1,0,17,9,3,0,1,6,36
0,1,9,0,0,0,0,0,18
0,3,12,5,1,0,0,0,18
2,2,0,0,12,0,0,0,18
0,0,5,0,0,0,0,0,18
1,8,5,0,0,0,0,0,18
12,1,8,8,0,0,0,0,18
0,5,7,1,0,0,0,0,18
0,4,3,3,12,0,0,0,18
5,13,6,0,0,0,0,0,18
10,3,5,10,0,0,0,0,18
0,2,4,0,0,0,0,0,18
0,0,4,1,0,0,0,0,18
0,1,8,10,4,0,0,0,18
0,2,3,0,13,0,0,0,18
0,0,2,0,0,0,0,0,18
0,5,1,0,0,0,0,0,18
2,1,0,1,13,0,0,0,18
0,0,7,0,14,0,0,0,18
10,12,4,12,0,0,0,0,18
10,5,8,6,0,0,0,0,18
0,0,15,0,7,0,0,0,18
0,0,9,0,14,0,0,0,18
0,0,15,0,0,0,0,0,18
0,1,1,0,13,0,0,0,18
0,0,2,0,2,0,0,0,18
17,1,2,0,18,0,0,0,18
1,5,0,1,9,0,0,0,18
0,0,9,0,0,0,0,0,18
0,0,1,0,11,0,0,0,18
0,2,0,0,4,0,5,2,33
0,0,6,1,0,0,5,2,33
0,3,7,3,0,0,5,2,33
0,0,4,0,2,0,5,2,33
0,5,5,0,9,0,5,2,33
0,0,5,5,2,0,5,2,33
0,1,10,2,25,0,5,2,33
2,0,1,0,8,0,5,2,33
2,1,0,1,3,0,5,2,33
2,0,2,0,3,0,5,2,33
0,0,0,0,0,0,5,2,33
2,0,0,0,10,0,5,2,33
0,1,3,0,27,0,5,2,33
1,3,3,0,0,0,5,2,33
0,1,3,4,23,0,5,2,33
4,3,8,4,0,0,5,2,33
2,1,7,2,8,0,5,2,33
0,0,2,0,0,0,5,2,33
0,0,6,0,10,0,5,2,33
0,1,15,11,26,0,5,2,33
0,1,8,0,0,0,5,2,33
1,1,15,0,14,0,5,2,33
2,0,0,0,1,0,5,2,33
0,0,6,0,19,0,5,2,33
0,0,1,0,1,0,1,3,18
0,1,13,7,0,0,1,3,18
1,5,11,3,21,0,1,3,18
0,8,1,0,0,0,1,3,18
4,2,0,0,0,0,1,3,18
0,0,3,6,3,0,1,3,18
0,4,1,2,1,0,1,3,18
1,0,5,4,22,0,1,3,18
7,2,0,1,1,0,1,3,18
1,1,3,5,2,0,1,3,18
0,3,3,0,0,0,1,3,18
0,0,2,0,15,0,1,3,18
0,3,1,2,22,0,1,3,18
0,0,1,0,21,0,1,3,18
0,1,2,1,0,0,1,3,18
1,0,1,0,0,0,1,3,18
0,2,3,0,23,0,1,3,18
0,1,3,1,23,0,1,3,18
