HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0.57073767,0.477784864,0.597045068,0.529868197,0.717261905,0.760629252,0.748405612,0.775775935
0.618941327,0.497236395,0.567389456,0.575892857,0.717261905,0.760629252,0.748405612,0.775775935
0.453603316,0.509619473,0.54942602,0.53082483,0.717261905,0.760629252,0.748405612,0.775775935
0.536670918,0.490008503,0.613201531,0.485012755,0.717261905,0.760629252,0.748405612,0.775775935
0.531834609,0.5,0.61150085,0.531356293,0.717261905,0.760629252,0.748405612,0.775775935
0.652529762,0.511107568,0.674160289,0.602040816,0.717261905,0.760629252,0.748405612,0.775775935
0.673469388,0.517272534,0.617772109,0.486341412,0.717261905,0.760629252,0.748405612,0.775775935
0.607568027,0.491709184,0.559204932,0.639030612,0.717261905,0.760629252,0.748405612,0.775775935
0.556919643,0.46960034,0.629039116,0.465454932,0.717261905,0.760629252,0.748405612,0.775775935
0.567602041,0.479485544,0.57982568,0.372130102,0.717261905,0.760629252,0.748405612,0.775775935
0.527954932,0.485756803,0.627763605,0.543154762,0.717261905,0.760629252,0.748405612,0.775775935
0.582908163,0.518229167,0.574723639,0.295546344,0.717261905,0.760629252,0.748405612,0.775775935
0.533588435,0.503826531,0.610703656,0.758769133,0.717261905,0.760629252,0.748405612,0.775775935
0.609853316,0.487032313,0.600127551,0.738945578,0.717261905,0.760629252,0.748405612,0.775775935
0.525031888,0.478369473,0.536033163,0.366018282,0.717261905,0.760629252,0.748405612,0.775775935
0.653114371,0.501594388,0.671875,0.256005527,0.717261905,0.760629252,0.748405612,0.775775935
0.645195578,0.544855442,0.584396259,0.75255102,0.717261905,0.760629252,0.748405612,0.775775935
0.678677721,0.491177721,0.532312925,0.494685374,0.717261905,0.760629252,0.748405612,0.775775935
0.632653061,0.49744898,0.626062925,0.700892857,0.717261905,0.760629252,0.748405612,0.775775935
0.574245323,0.473798895,0.483737245,0.765571854,0.717261905,0.760629252,0.748405612,0.775775935
0.476828231,0.482886905,0.544430272,0.579294218,0.717261905,0.760629252,0.748405612,0.775775935
0.547353316,0.511320153,0.599914966,0.670386905,0.717261905,0.760629252,0.748405612,0.775775935
0.576477466,0.505048895,0.602784864,0.683567177,0.717261905,0.760629252,0.748405612,0.775775935
0.578231293,0.501647534,0.565369898,0.73224915,0.717261905,0.760629252,0.748405612,0.775775935
0.648331207,0.502178997,0.52869898,0.642644558,0.717261905,0.760629252,0.748405612,0.775775935
0.483418367,0.485863095,0.573660714,0.551764456,0.717261905,0.760629252,0.748405612,0.775775935
0.601509354,0.489849065,0.588435374,0.57514881,0.717261905,0.760629252,0.748405612,0.775775935
0.603103741,0.471247874,0.50255102,0.608630952,0.717261905,0.760629252,0.748405612,0.775775935
0.554102891,0.482940051,0.593962585,0.610331633,0.717261905,0.760629252,0.748405612,0.775775935
0.64105017,0.500797194,0.58067602,0.354485544,0.717261905,0.760629252,0.748405612,0.775775935
0.645248724,0.484428146,0.596194728,0.466730442,0.717261905,0.760629252,0.748405612,0.775775935
0.588666385,0.516632487,0.54063876,0.497557151,0.641293202,0.652979673,0.65104952,0.660926473
0.576361662,0.514807889,0.553124435,0.520915013,0.641293202,0.652979673,0.65104952,0.660926473
0.535753061,0.517175342,0.548283974,0.488358767,0.641293202,0.652979673,0.65104952,0.660926473
0.54306653,0.514551541,0.526675312,0.476114362,0.641293202,0.652979673,0.65104952,0.660926473
0.564901381,0.517703118,0.545780807,0.566439472,0.641293202,0.652979673,0.65104952,0.660926473
0.432897038,0.509379335,0.473520719,0.511550757,0.641293202,0.652979673,0.65104952,0.660926473
0.490620665,0.508519814,0.513420592,0.517959467,0.641293202,0.652979673,0.65104952,0.660926473
0.441205742,0.530987997,0.407367754,0.580312443,0.641293202,0.652979673,0.65104952,0.660926473
