HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0,11,6,22,1,9,1,0
8,5,1,0,1,9,1,0
2,3,1,3,1,9,1,0
1,3,2,2,1,9,1,0
3,14,3,3,1,9,1,0
0,4,8,12,1,9,1,0
0,2,1,0,1,9,1,0
7,1,0,0,1,9,1,0
2,1,1,0,1,9,1,0
6,3,0,13,1,9,1,0
1,2,1,10,1,9,1,0
3,2,4,3,1,9,1,0
2,9,2,1,0,2,1,0
0,13,3,1,0,2,1,0
0,0,0,1,0,2,1,0
6,3,6,4,0,2,1,0
2,3,4,20,0,2,1,0
1,23,1,3,0,2,1,0
1,6,2,0,0,2,1,0
4,6,10,1,0,2,1,0
9,8,2,1,0,2,1,0
2,1,1,1,0,2,1,0
1,8,2,0,0,2,1,0
8,0,1,0,0,2,1,0
1,4,2,1,0,2,1,0
1,4,2,5,0,2,1,0
2,0,2,24,0,2,1,0
2,2,1,1,0,2,1,0
1,7,3,22,0,2,1,0
0,1,3,4,0,2,1,0
0,6,4,1,0,2,1,0
4,1,2,4,0,2,1,0
2,7,3,0,0,2,1,0
5,0,3,0,0,2,1,0
3,6,3,22,0,2,1,0
3,6,15,2,0,2,1,0
3,2,3,1,0,2,1,0
2,2,2,1,0,2,1,0
3,7,2,14,0,2,1,0
1,6,3,0,0,2,1,0
2,7,2,0,0,2,1,0
2,8,4,0,0,1,6,36
0,17,9,3,0,1,6,36
12,5,4,2,0,1,6,36
11,20,3,1,0,1,6,36
12,32,9,11,0,1,6,36
0,11,18,1,0,1,6,36
4,14,0,10,0,1,6,36
0,12,18,1,0,1,6,36
0,17,1,0,0,1,6,36
6,15,0,6,0,1,6,36
9,17,1,0,0,1,6,36
24,34,15,15,0,1,6,36
9,19,13,61,0,1,6,36
10,0,46,54,0,1,6,36
2,5,12,0,0,1,6,36
8,3,17,24,0,1,6,36
22,9,5,17,0,1,6,36
4,41,1,0,0,1,6,36
4,29,1,1,0,1,6,36
4,19,15,44,0,1,6,36
2,4,0,0,0,1,6,36
17,16,2,0,0,1,6,36
3,28,0,27,0,1,6,36
0,1,0,59,0,1,6,36
22,20,2,57,0,1,6,36
0,7,0,1,0,1,6,36
12,6,9,50,0,1,6,36
4,14,14,4,0,1,6,36
6,18,7,0,0,1,6,36
3,12,5,1,0,0,0,18
0,1,0,11,0,0,0,18
0,15,0,0,0,0,0,18
1,8,8,0,0,0,0,18
5,7,1,0,0,0,0,18
3,5,10,0,0,0,0,18
1,8,10,4,0,0,0,18
5,8,6,0,0,0,0,18
1,9,0,0,0,0,0,18
2,0,0,12,0,0,0,18
0,5,0,0,0,0,0,18
0,15,0,7,0,0,0,18
0,9,0,14,0,0,0,18
1,1,0,13,0,0,0,18
0,2,0,2,0,0,0,18
1,2,0,18,0,0,0,18
5,0,1,9,0,0,0,18
0,9,0,0,0,0,0,18
8,5,0,0,0,0,0,18
4,3,3,12,0,0,0,18
13,6,0,0,0,0,0,18
2,4,0,0,0,0,0,18
0,4,1,0,0,0,0,18
2,3,0,13,0,0,0,18
0,2,0,0,0,0,0,18
5,1,0,0,0,0,0,18
1,0,1,13,0,0,0,18
0,7,0,14,0,0,0,18
12,4,12,0,0,0,0,18
0,6,1,0,0,5,2,33
0,6,0,19,0,5,2,33
0,6,0,10,0,5,2,33
5,5,0,9,0,5,2,33
0,5,5,2,0,5,2,33
1,0,1,3,0,5,2,33
0,0,0,10,0,5,2,33
1,7,2,8,0,5,2,33
2,0,0,4,0,5,2,33
3,7,3,0,0,5,2,33
8,1,3,2,0,5,2,33
0,2,0,0,0,5,2,33
2,0,0,27,0,5,2,33
1,15,11,26,0,5,2,33
1,8,0,0,0,5,2,33
15,2,1,0,0,5,2,33
1,15,0,14,0,5,2,33
0,0,0,1,0,5,2,33
0,4,0,2,0,5,2,33
1,10,2,25,0,5,2,33
0,1,0,8,0,5,2,33
0,2,0,3,0,5,2,33
0,0,0,0,0,5,2,33
1,3,0,27,0,5,2,33
3,3,0,0,0,5,2,33
0,1,0,2,0,5,2,33
1,3,4,23,0,5,2,33
1,5,0,16,0,5,2,33
3,8,4,0,0,5,2,33
1,13,7,0,0,1,3,18
0,7,0,21,0,1,3,18
3,0,0,2,0,1,3,18
0,3,6,3,0,1,3,18
4,1,2,1,0,1,3,18
1,3,5,2,0,1,3,18
3,1,2,22,0,1,3,18
5,3,5,2,0,1,3,18
0,1,0,1,0,1,3,18
5,11,3,21,0,1,3,18
8,1,0,0,0,1,3,18
0,4,0,21,0,1,3,18
13,2,10,16,0,1,3,18
7,4,4,16,0,1,3,18
0,7,0,4,0,1,3,18
6,0,13,19,0,1,3,18
0,8,0,19,0,1,3,18
0,4,0,0,0,1,3,18
2,0,0,0,0,1,3,18
0,5,4,22,0,1,3,18
2,0,1,1,0,1,3,18
3,3,0,0,0,1,3,18
0,2,0,15,0,1,3,18
0,1,0,21,0,1,3,18
1,2,1,0,0,1,3,18
0,1,0,0,0,1,3,18
2,3,0,23,0,1,3,18
1,3,1,23,0,1,3,18
4,8,2,0,0,1,3,18
3,12,2,1,1,2,0,0
0,9,0,4,1,2,0,0
1,0,8,5,1,2,0,0
0,3,0,3,1,2,0,0
0,1,0,1,1,2,0,0
2,9,1,1,1,2,0,0
4,2,1,0,1,2,0,0
0,3,0,1,1,2,0,0
0,5,2,1,1,2,0,0
3,0,1,3,1,2,0,0
4,2,2,2,1,2,0,0
7,13,4,1,1,2,0,0
7,0,1,8,1,2,0,0
6,2,13,11,1,2,0,0
3,5,0,0,1,2,0,0
4,16,4,16,1,2,0,0
2,5,2,1,1,2,0,0
5,0,6,4,1,2,0,0
0,1,4,8,1,2,0,0
0,2,0,5,1,2,0,0
0,4,1,2,1,2,0,0
0,12,2,1,1,2,0,0
1,6,1,7,1,2,0,0
0,11,3,4,1,2,0,0
4,9,0,8,1,2,0,0
2,0,2,7,1,2,0,0
1,8,3,11,1,2,0,0
1,4,0,1,1,2,0,0
3,0,0,3,1,2,0,0
5,4,3,2,1,1,2,31
1,7,0,1,1,1,2,31
0,5,0,1,1,1,2,31
1,1,0,1,1,1,2,31
0,4,1,1,1,1,2,31
2,0,4,2,1,1,2,31
1,9,2,0,1,1,2,31
1,10,8,3,1,1,2,31
3,3,10,1,1,1,2,31
2,0,7,0,1,1,2,31
10,3,2,3,1,1,2,31
0,2,5,1,1,1,2,31
1,3,0,25,1,1,2,31
5,3,2,13,1,1,2,31
0,9,0,1,1,1,2,31
1,9,8,0,1,1,2,31
5,1,5,0,1,1,2,31
0,5,0,37,1,1,2,31
0,7,1,25,1,1,2,31
4,0,2,22,1,1,2,31
2,4,1,11,1,1,2,31
11,13,0,23,1,1,2,31
1,9,7,8,1,1,2,31
0,6,1,1,1,1,2,31
10,0,5,10,12,2,1,25
0,6,1,0,12,2,1,25
2,4,1,0,12,2,1,25
2,8,7,3,12,2,1,25
14,6,4,14,12,2,1,25
1,7,3,18,12,2,1,25
1,2,0,27,12,2,1,25
1,7,1,10,12,2,1,25
4,1,2,0,12,2,1,25
2,2,3,2,12,2,1,25
7,14,2,0,12,2,1,25
1,1,5,0,12,2,1,25
0,6,0,3,12,2,1,25
0,9,4,6,12,2,1,25
0,13,0,11,12,2,1,25
1,8,0,0,12,2,1,25
10,16,1,2,12,2,1,25
7,0,3,3,12,2,1,25
2,0,1,13,12,2,1,25
1,8,1,6,12,2,1,25
2,1,0,6,12,2,1,25
5,10,1,23,12,2,1,25
1,10,3,33,12,2,1,25
4,8,1,0,12,2,1,25
7,18,0,7,8,24,8,11
1,15,1,6,8,24,8,11
31,8,4,9,8,24,8,11
1,14,7,37,8,24,8,11
12,19,5,16,8,24,8,11
5,23,6,30,8,24,8,11
13,8,12,15,8,24,8,11
10,9,7,17,8,24,8,11
5,4,41,14,8,24,8,11
3,2,61,28,8,24,8,11
11,6,3,10,8,24,8,11
6,3,46,31,8,24,8,11
1,8,3,131,8,24,8,11
1,13,1,0,8,24,8,11
2,16,1,1,8,24,8,11
1,12,2,6,8,24,8,11
0,14,3,7,8,24,8,11
43,16,5,6,8,24,8,11
0,4,2,2,8,24,8,11
14,10,4,0,8,24,8,11
2,20,2,0,8,24,8,11
20,17,3,29,8,24,8,11
3,37,5,19,8,24,8,11
1,12,3,1,8,24,8,11
1,6,0,1,0,0,0,16
0,2,0,0,0,0,0,16
0,0,0,0,0,0,0,16
0,2,0,0,0,0,0,16
0,5,0,1,0,0,0,16
0,3,0,0,0,0,0,16
0,2,0,0,0,0,0,16
0,5,0,0,0,0,0,16
0,3,0,0,0,0,0,16
0,0,0,0,0,0,0,16
0,0,0,0,0,0,0,16
0,0,0,3,0,0,0,16
0,2,0,0,0,0,0,16
0,6,0,0,0,0,0,16
0,0,0,0,0,0,0,16
0,0,0,0,0,0,0,16
0,0,0,0,0,0,0,16
0,0,0,7,0,0,0,16
0,2,0,0,0,0,0,16
0,0,0,0,0,0,0,16
0,4,0,0,0,0,0,16
1,5,0,5,0,0,0,16
0,5,0,0,0,0,0,16
0,7,0,1,0,0,0,16
33,8,2,17,5,1,4,25
7,8,12,0,5,1,4,25
5,0,10,6,5,1,4,25
5,3,11,0,5,1,4,25
16,3,5,3,5,1,4,25
4,3,6,4,5,1,4,25
9,4,15,2,5,1,4,25
19,3,13,1,5,1,4,25
9,7,8,5,5,1,4,25
14,3,10,15,5,1,4,25
9,13,9,10,5,1,4,25
0,0,2,4,5,1,4,25
10,2,9,0,5,1,4,25
2,3,3,21,5,1,4,25
0,10,6,8,5,1,4,25
0,13,10,2,5,1,4,25
9,2,2,2,5,1,4,25
19,12,15,17,5,1,4,25
8,4,6,22,5,1,4,25
16,5,9,21,5,1,4,25
8,5,2,19,5,1,4,25
15,3,3,19,5,1,4,25
22,3,4,5,5,1,4,25
2,4,2,3,5,1,4,25
4,8,1,1,3,2,1,17
