HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0.328334636,0.373475076,0.277104792,0.47665891,0.225447958,0.326638806,0.192351529,0.828866374
0.327762743,0.406930041,0.317708961,0.463892775,0.225447958,0.326638806,0.192351529,0.828866374
0.386098055,0.413673941,0.30825868,0.47665891,0.225447958,0.326638806,0.192351529,0.828866374
0.326373901,0.364229607,0.299655762,0.57767582,0.225447958,0.326638806,0.192351529,0.828866374
0.332334023,0.404666178,0.272583314,0.476670488,0.225447958,0.326638806,0.192351529,0.828866374
0.361767732,0.423936486,0.391578169,0.298639973,0.225447958,0.326638806,0.192351529,0.828866374
0.39257797,0.447374974,0.372481891,0.620517941,0.225447958,0.326638806,0.192351529,0.828866374
0.322203333,0.432995429,0.343984674,0.425056105,0.225447958,0.326638806,0.192351529,0.828866374
0.616781621,0.622777485,0.40203891,0.563403597,0.225447958,0.326638806,0.192351529,0.828866374
0.356824318,0.383926629,0.474591498,0.731794915,0.225447958,0.326638806,0.192351529,0.828866374
0.409804112,0.386830011,0.353446441,0.308937159,0.225447958,0.326638806,0.192351529,0.828866374
0.420731445,0.425815994,0.38492937,0.771724924,0.225447958,0.326638806,0.192351529,0.828866374
0.396976965,0.416758154,0.339908655,0.211973297,0.225447958,0.326638806,0.192351529,0.828866374
0.372397541,0.392936138,0.360280113,0.24106648,0.225447958,0.326638806,0.192351529,0.828866374
0.585674778,0.414898493,0.692480995,0.574787323,0.225447958,0.326638806,0.192351529,0.828866374
0.542306891,0.583986115,0.467034691,0.764341229,0.225447958,0.326638806,0.192351529,0.828866374
0.282142203,0.370657331,0.281973503,0.247577268,0.225447958,0.326638806,0.192351529,0.828866374
0.513611386,0.403548581,0.587902806,0.499027857,0.225447958,0.326638806,0.192351529,0.828866374
0.286084254,0.384119403,0.292289065,0.298690969,0.225447958,0.326638806,0.192351529,0.828866374
0.425356385,0.424625072,0.445999272,0.210849727,0.225447958,0.326638806,0.192351529,0.828866374
0.458339336,0.374793075,0.37263148,0.456915762,0.225447958,0.326638806,0.192351529,0.828866374
0.297086473,0.414109752,0.321621425,0.264956858,0.225447958,0.326638806,0.192351529,0.828866374
0.433197117,0.397145206,0.360842817,0.300592897,0.225447958,0.326638806,0.192351529,0.828866374
0.316696113,0.393327752,0.33273262,0.224984214,0.225447958,0.326638806,0.192351529,0.828866374
0.306612468,0.384217261,0.386191594,0.421788858,0.225447958,0.326638806,0.192351529,0.828866374
0.404281088,0.439414332,0.405994743,0.465537884,0.225447958,0.326638806,0.192351529,0.828866374
0.309092812,0.398909766,0.380982541,0.454326259,0.225447958,0.326638806,0.192351529,0.828866374
0.496636917,0.44735724,0.358972406,0.462982562,0.225447958,0.326638806,0.192351529,0.828866374
