HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0.41025641,0.465116279,0.422360248,0.671428571,0.715025907,0.725388601,0.603550296,0.731958763
0.392405063,0.465116279,0.387096774,0.673835125,0.715025907,0.725388601,0.603550296,0.731958763
0.369426752,0.469879518,0.423076923,0.671428571,0.715025907,0.725388601,0.603550296,0.731958763
0.392405063,0.465116279,0.407643312,0.550218341,0.715025907,0.725388601,0.603550296,0.731958763
0.364864865,0.465116279,0.418300654,0.678571429,0.715025907,0.725388601,0.603550296,0.731958763
0.382352941,0.452380952,0.222222222,0.48,0.715025907,0.725388601,0.603550296,0.731958763
0.396946565,0.472727273,0.090909091,0.608058608,0.715025907,0.725388601,0.603550296,0.731958763
0.320610687,0.465116279,0.206349206,0.698795181,0.715025907,0.725388601,0.603550296,0.731958763
0.362318841,0.31884058,0.159292035,0.075471698,0.715025907,0.725388601,0.603550296,0.731958763
0.311111111,0.44047619,0.148760331,0.455357143,0.715025907,0.725388601,0.603550296,0.731958763
0.234375,0.447058824,0.229508197,0.32,0.715025907,0.725388601,0.603550296,0.731958763
0.234375,0.470588235,0.204724409,0.176,0.715025907,0.725388601,0.603550296,0.731958763
0.108108108,0.458823529,0.137931034,0.719665272,0.715025907,0.725388601,0.603550296,0.731958763
0.502923977,0.467836257,0.373333333,0.684210526,0.715025907,0.725388601,0.603550296,0.731958763
0.204724409,0.447058824,0.347222222,0.253968254,0.715025907,0.725388601,0.603550296,0.731958763
0.272,0.394557823,0.26446281,0.158940397,0.715025907,0.725388601,0.603550296,0.731958763
0.372413793,0.470588235,0.375838926,0.697318008,0.715025907,0.725388601,0.603550296,0.731958763
0.607329843,0.465116279,0.508474576,0.528497409,0.715025907,0.725388601,0.603550296,0.731958763
0.451612903,0.465116279,0.397350993,0.619047619,0.715025907,0.725388601,0.603550296,0.731958763
0.342465753,0.447058824,0.315068493,0.708029197,0.715025907,0.725388601,0.603550296,0.731958763
0.246376812,0.465116279,0.294117647,0.679245283,0.715025907,0.725388601,0.603550296,0.731958763
0.448484848,0.458823529,0.466257669,0.703862661,0.715025907,0.725388601,0.603550296,0.731958763
